plate_id,sample_id,replicate,quant_row,quant_column,sample_volume
rme_preservative_dna_2024-11-06,A1,1,J,1,1.5
rme_preservative_dna_2024-11-06,A1,2,J,2,1.5
rme_preservative_dna_2024-11-06,B1,1,J,3,1.5
rme_preservative_dna_2024-11-06,B1,2,J,4,1.5
rme_preservative_dna_2024-11-06,C1,1,J,5,1.5
rme_preservative_dna_2024-11-06,C1,2,J,6,1.5
rme_preservative_dna_2024-11-06,D1,1,J,7,1.5
rme_preservative_dna_2024-11-06,D1,2,J,8,1.5
rme_preservative_dna_2024-11-06,E1,1,J,9,1.5
rme_preservative_dna_2024-11-06,E1,2,J,10,1.5
rme_preservative_dna_2024-11-06,F1,1,J,11,1.5
rme_preservative_dna_2024-11-06,F1,2,J,12,1.5
rme_preservative_dna_2024-11-06,G1,1,J,13,1.5
rme_preservative_dna_2024-11-06,G1,2,J,14,1.5
rme_preservative_dna_2024-11-06,H1,1,J,15,1.5
rme_preservative_dna_2024-11-06,H1,2,J,16,1.5
rme_preservative_dna_2024-11-06,A4,1,J,17,1.5
rme_preservative_dna_2024-11-06,A4,2,J,18,1.5
rme_preservative_dna_2024-11-06,B4,1,J,19,1.5
rme_preservative_dna_2024-11-06,B4,2,J,20,1.5
rme_preservative_dna_2024-11-06,C4,1,J,21,1.5
rme_preservative_dna_2024-11-06,C4,2,J,22,1.5
rme_preservative_dna_2024-11-06,A2,1,K,1,1.5
rme_preservative_dna_2024-11-06,A2,2,K,2,1.5
rme_preservative_dna_2024-11-06,B2,1,K,3,1.5
rme_preservative_dna_2024-11-06,B2,2,K,4,1.5
rme_preservative_dna_2024-11-06,C2,1,K,5,1.5
rme_preservative_dna_2024-11-06,C2,2,K,6,1.5
rme_preservative_dna_2024-11-06,D2,1,K,7,1.5
rme_preservative_dna_2024-11-06,D2,2,K,8,1.5
rme_preservative_dna_2024-11-06,E2,1,K,9,1.5
rme_preservative_dna_2024-11-06,E2,2,K,10,1.5
rme_preservative_dna_2024-11-06,F2,1,K,11,1.5
rme_preservative_dna_2024-11-06,F2,2,K,12,1.5
rme_preservative_dna_2024-11-06,G2,1,K,13,1.5
rme_preservative_dna_2024-11-06,G2,2,K,14,1.5
rme_preservative_dna_2024-11-06,H2,1,K,15,1.5
rme_preservative_dna_2024-11-06,H2,2,K,16,1.5
rme_preservative_dna_2024-11-06,D4,1,K,17,1.5
rme_preservative_dna_2024-11-06,D4,2,K,18,1.5
rme_preservative_dna_2024-11-06,E4,1,K,19,1.5
rme_preservative_dna_2024-11-06,E4,2,K,20,1.5
rme_preservative_dna_2024-11-06,F4,1,K,21,1.5
rme_preservative_dna_2024-11-06,F4,2,K,22,1.5
rme_preservative_dna_2024-11-06,A3,1,L,1,1.5
rme_preservative_dna_2024-11-06,A3,2,L,2,1.5
rme_preservative_dna_2024-11-06,B3,1,L,3,1.5
rme_preservative_dna_2024-11-06,B3,2,L,4,1.5
rme_preservative_dna_2024-11-06,C3,1,L,5,1.5
rme_preservative_dna_2024-11-06,C3,2,L,6,1.5
rme_preservative_dna_2024-11-06,D3,1,L,7,1.5
rme_preservative_dna_2024-11-06,D3,2,L,8,1.5
rme_preservative_dna_2024-11-06,E3,1,L,9,1.5
rme_preservative_dna_2024-11-06,E3,2,L,10,1.5
rme_preservative_dna_2024-11-06,F3,1,L,11,1.5
rme_preservative_dna_2024-11-06,F3,2,L,12,1.5
rme_preservative_dna_2024-11-06,G3,1,L,13,1.5
rme_preservative_dna_2024-11-06,G3,2,L,14,1.5
rme_preservative_dna_2024-11-06,H3,1,L,15,1.5
rme_preservative_dna_2024-11-06,H3,2,L,16,1.5
standard,1000,1,M,1,1.5
standard,1000,2,M,2,1.5
standard,316.2,1,M,3,1.5
standard,316.2,2,M,4,1.5
standard,100,1,M,5,1.5
standard,100,2,M,6,1.5
standard,31.62,1,M,7,1.5
standard,31.62,2,M,8,1.5
standard,10,1,M,9,1.5
standard,10,2,M,10,1.5
standard,3.16,1,M,11,1.5
standard,3.16,2,M,12,1.5
standard,1,1,M,13,1.5
standard,1,2,M,14,1.5
standard,0,1,M,15,1.5
standard,0,2,M,16,1.5
standard,1000,3,N,1,1.5
standard,316.2,3,N,3,1.5
standard,100,3,N,5,1.5
standard,31.62,3,N,7,1.5
standard,10,3,N,9,1.5
standard,3.16,3,N,11,1.5
standard,1,3,N,13,1.5
standard,0,3,N,15,1.5
